Mailing City,Mailing State/Province,Mailing Country,Reporting Term,Program SeleConnecticution: Program SeleConnecticution Name,Admissions Status,Status
Kalamazoo,Michigan,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Miami,Florida,United States of America,Fall 2024,Creative Writing (MFA) Camden,Admit-Coming,A/C
Miami,FL,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Blackwood,New Jersey,United States of America,Fall 2024,English (MA),Admit-Coming,A/C
Camden,New Jersey,United States of America,Fall 2024,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Pittsburgh,Pennsylvania,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Started App,Did Not A/C
Brooklyn,New York,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Brunswick,Maine,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Elmhurst,New York,United States of America,Spring 2024,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
East Orange,New Jersey,United States of America,Spring 2024,Criminal Justice - Dual MA/MPA Criminal Justice and Public Administration (MA),Withdrawn,Did Not A/C
Goleta,California,United States of America,Spring 2024,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",Started App,Did Not A/C
Glassboro,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Los Angeles,California,United States of America,Spring 2024,Data Science (MS),Withdrawn,Did Not A/C
Voorhees,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Admit-Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Barrington,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Started App,Did Not A/C
Baltimore,Maryland,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Fresno,California,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Sicklerville,New Jersey,United States of America,Spring 2024,Biology (MS),Admit-Coming,A/C
Camden,New Jersey,United States of America,Spring 2024,Criminal Justice (MA),Withdrawn,Did Not A/C
Cinnaminson,New Jersey,United States of America,Spring 2024,Biology (NOD),Started App,Did Not A/C
Merchantville,New Jersey,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Started App,Did Not A/C
Marlton,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Deferred to Fall,Did Not A/C
Milwaukee,Wisconsin,United States of America,Spring 2024,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
Princeton JunConnecticution,New Jersey,United States of America,Spring 2024,Liberal Studies - Online (MA),Admit-Coming,A/C
Linden,New Jersey,United States of America,Spring 2024,Public Administration - On Campus (MPA),Started App,Did Not A/C
Salem,New Jersey,United States of America,Spring 2024,Public Administration - On Campus (MPA),Deferred to Fall,Did Not A/C
Egg Harbor City,New Jersey,United States of America,Spring 2024,Criminal Justice (MA),Admit-Not Coming,Did Not A/C
Egg Harbor City,New Jersey,United States of America,Spring 2024,Childhood Studies (MA),Denied,Did Not A/C
Stone Mountain,Georgia,United States of America,Fall 2024,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Wallingford,ConneConnecticuticut,United States of America,Fall 2024,Forensic Science (MS),Withdrawn,Did Not A/C
Bordentown,New Jersey,United States of America,Spring 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Avondale,Pennsylvania,United States of America,Fall 2024,Forensic Science (MS),Admit-Not Coming,Did Not A/C
Baltimore,Maryland,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Garner,North Carolina,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Iselin,New Jersey,United States of America,Fall 2024,Data Science (MS),Started App,Did Not A/C
West Deptford,New Jersey,United States of America,Fall 2024,Forensic Science (MS),Started App,Did Not A/C
Haddonfield,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Started App,Did Not A/C
Chapel Hill,North Carolina,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Boone,North Carolina,United States of America,Fall 2024,Biology (MS),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Admit-Coming,A/C
West Collingswood,New Jersey,United States of America,Spring 2024,Mathematical Sciences (MS),Admit-Coming,A/C
Egg Harbor City,New Jersey,United States of America,Fall 2024,Childhood Studies (PHD),Denied,Did Not A/C
Sicklerville,New Jersey,United States of America,Fall 2024,English (MA),Started App,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
West Collingswood,New Jersey,United States of America,Fall 2024,Biology: Computational and Integrative (PHD),Withdrawn,Did Not A/C
Yorktown Heights,New York,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Data Science (MS),Admit-Coming,A/C
Iowa City,Iowa,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Bowling Green,Ohio,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Cinnaminson,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Boston,Massachusetts,United States of America,Fall 2024,Childhood Studies (PHD),Withdrawn,Did Not A/C
Bayville,New Jersey,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Kansas City,Missouri,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Woodstown,New Jersey,United States of America,Fall 2024,Data Science (MS),Admit-Coming,A/C
Trenton,New Jersey,United States of America,Spring 2024,Criminal Justice (MA),Admit-Not Coming,Did Not A/C
Phila,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Deferred to Fall,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Forensic Science (MS),Admit-Coming,A/C
Sewell,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Started App,Did Not A/C
Haddonfield,New Jersey,United States of America,Spring 2024,Public Administration - On Campus (NOD),Withdrawn,Did Not A/C
Magnolia,New Jersey,United States of America,Spring 2024,English (MA),Deferred to Fall,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Public Affairs/Community Development (PHD),Withdrawn,Did Not A/C
New York,New York,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Madison,Wisconsin,United States of America,Fall 2024,Biology: Computational and Integrative (PHD),Admit-Withdrawn,Did Not A/C
Cincinnati,Ohio,United States of America,Fall 2024,English (MA),Started App,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Criminal Justice (MA),Started App,Did Not A/C
Chicago,Illinois,United States of America,Fall 2024,Forensic Science (MS),Admit-Withdrawn,Did Not A/C
Langhorne,Pennsylvania,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Harlan,Iowa,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Wenonah,New Jersey,United States of America,Summer 2024,Teacher Education (MAT),Started App,Did Not A/C
Easley,South Carolina,United States of America,Fall 2024,English (MA),Started App,Did Not A/C
Marlton,New Jersey,United States of America,Spring 2024,Computer Science: Scientific Computing (MS),Withdrawn,Did Not A/C
Christiana,Pennsylvania,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Beverly,New Jersey,United States of America,Fall 2024,Psychology - Accelerated Degree BA/MA (MA),Admit-Coming,A/C
Ann Arbor,Michigan,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Tunkhannock,Pennsylvania,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Started App,Did Not A/C
Temple Hills,Maryland,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Walpole,New Hampshire,United States of America,Fall 2024,Childhood Studies (PHD),Started App,Did Not A/C
Manorville,New York,United States of America,Fall 2024,Forensic Science (MS),Started App,Did Not A/C
Los Angeles,California,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Started App,Did Not A/C
Bloomsbury,New Jersey,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Sewell,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Admit-Coming,A/C
Lafayette,New Jersey,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Cherry Hill,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Admit-Coming,A/C
Medford,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Started App,Did Not A/C
Fillmore,California,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Northfield,Massachusetts,United States of America,Summer 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
W Somerville,Massachusetts,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Portland,Oregon,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Martinez,California,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Fort Worth,Texas,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Santa Cruz,California,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
PHILADELPHIA,PA,United States of America,Fall 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Las Vegas,Nevada,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Baltimore,Maryland,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Mountain Lks,New Jersey,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Brooklyn,New York,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Homestead,Florida,United States of America,Spring 2024,Liberal Studies - Online (MA),Admit-Coming,A/C
Leesburg,Florida,United States of America,Fall 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Somerville,Massachusetts,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Egg Harbor Township,New Jersey,United States of America,Spring 2025,Teacher Education (MAT),Started App,Did Not A/C
Woodbridge,Virginia,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Chicago,Illinois,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Lakewood,New Jersey,United States of America,Spring 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Lubbock,TX,United States of America,Spring 2024,Liberal Studies - Online (MA),Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Public Affairs/Community Development (PHD),Admit-Coming,A/C
Oakville,Connecticut,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
East Brunswick,New Jersey,United States of America,Spring 2024,Liberal Studies - Online (MA),Admit-Coming,A/C
Winston Salem,North Carolina,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Bolingbrook,Illinois,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
New Haven,ConneConnecticuticut,United States of America,Fall 2024,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Indianapolis,Indiana,United States of America,Fall 2024,Public Affairs/Community Development (MS),Started App,Did Not A/C
Boston,Massachusetts,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
New York,New York,United States of America,Fall 2024,Creative Writing (MFA) Camden,Admit-Coming,A/C
Newark,New Jersey,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Little Egg Harbor Twp,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Admit-Coming,A/C
Trenton,New Jersey,United States of America,Fall 2024,Public Affairs/Community Development (MS),Admit-Not Coming,Did Not A/C
Round Lake,Illinois,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Madison,Wisconsin,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Capitol Hgts,Maryland,United States of America,Fall 2024,Public Affairs/Community Development (PHD),Admit-Withdrawn,Did Not A/C
Haddon Hgts,New Jersey,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Saint Johns,Florida,United States of America,Spring 2024,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Brooklyn,New York,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Tampa,Florida,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Tallahassee,Florida,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Chicago,Illinois,United States of America,Fall 2024,Creative Writing (MFA) Camden,Admit-Withdrawn,Did Not A/C
Buxton,Oregon,United States of America,Fall 2024,English (MA),Admit-Withdrawn,Did Not A/C
Laramie,Wyoming,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Glassboro,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
